category,position,total_competitors,competitor_name,score
All,1,228,Kotaro,2818
All,2,228,Malo Gilly,2642
All,3,228,Riley Thurstans,2581
All,4,228,Callum Mather,2539
All,5,228,Dennis,2410
All,6,228,Yannis lemmen,2255
All,7,228,Maxwell Tilley,2255
All,8,228,Akira matsuda,2248
All,9,228,Darcy Lynch,2224
All,10,228,liang,1957
All,11,228,Jev dog,1812
All,12,228,Wing Hang Wong,1766
All,13,228,Samuel lundgren may,1726
All,14,228,Lachlan Rickard,1697
All,15,228,Chris Martinez,1614
All,16,228,Ryan,1547
All,17,228,Samuel Kline,1543
All,18,228,Xin,1540
All,19,228,Glenna,1538
All,20,228,Bruce,1532
All,21,228,Elliot Shirley,1522
All,22,228,Dexter Ghiocas,1502
All,23,228,Jasper,1495
All,24,228,Mike Wong,1495
All,25,228,Simon Chuah,1490
All,26,228,Max Goodall,1461
All,27,228,James Teede,1446
All,28,228,Joel,1406
All,29,228,Seth,1376
All,30,228,Sam,1368
All,31,228,Ethan,1331
All,32,228,Alex,1314
All,33,228,Zhi Keene,1297
All,34,228,Justin Qi,1292
All,35,228,kate,1248
All,36,228,Ru,1236
All,37,228,Oliver smeaton,1211
All,38,228,Liam Seet,1185
All,39,228,Cody Gillmeister,1176
All,40,228,Alex Graham,1175
All,41,228,Lucas Doan,1169
All,42,228,Jarvis,1136
All,43,228,Maggie huang,1127
All,44,228,chloe,1122
All,45,228,Sebastian,1091
All,46,228,Leon,1088
All,47,228,Jacob Vandenberg,1071
All,48,228,Raphael Aguilar,1057
All,49,228,Wesley Miller,1045
All,50,228,Nicholas Selle,1038
All,51,228,beth,1034
All,52,228,Christian Jai Santos,1027
All,53,228,Ryder Brydges,1026
All,54,228,Matthew Stoyakovich,1026
All,55,228,Xavier Saffin,1024
All,56,228,Jaime Wong,1013
All,57,228,Ferran Cornudella,998
All,58,228,Kim man,993
All,59,228,Christian Liu,993
All,60,228,Lucas,967
All,61,228,Jacob rencen,966
All,62,228,Nathan Morgan,960
All,63,228,Mazza F,933
All,64,228,Dylan Spark,928
All,65,228,Lorri,927
All,66,228,Stefan,923
All,67,228,Lachlan Nicholls,914
All,68,228,Karl Flores,912
All,69,228,Xavier Schiavello,905
All,70,228,Geoffrey Gao,901
All,71,228,Kieran Cairns,880
All,72,228,Tomas Parrish-Chynoweth,875
All,73,228,Ruby Friend,872
All,74,228,Eden,837
All,75,228,Lucy de Castella,835
All,76,228,Andrew Farrington,827
All,77,228,Henry,824
All,78,228,Dany Carline,813
All,79,228,Bas,773
All,80,228,James Chau,757
All,81,228,Liam Esselmont,740
All,82,228,Mark,739
All,83,228,Luke Pipito,712
All,84,228,Alice Graham,705
All,85,228,Nicholas,705
All,86,228,David Li,704
All,87,228,Martin,675
All,88,228,Charlie Stone,674
All,89,228,Tony z,672
All,90,228,Alex,671
All,91,228,Campbell Jordan,651
All,91,228,Ines,651
All,92,228,Oli,649
All,93,228,Lucas,634
All,94,228,Jason Chen,632
All,95,228,Tuck Leong Ngun,626
All,96,228,Matthew david,623
All,97,228,Tori,619
All,98,228,Hao Huang,613
All,99,228,Lawrence,604
All,100,228,Ashton,600
All,101,228,Herb George,600
All,102,228,Star,599
All,103,228,Cyrus Nguyen,594
All,104,228,Lewis,592
All,105,228,climbGPT,590
All,106,228,Martin Nguyen,581
All,107,228,Sanghoon Lee,576
All,108,228,Alec Walker,574
All,109,228,Seang Ir,573
All,110,228,Sirena Nguyen,568
All,111,228,Samuel Ke,563
All,112,228,Cedric Pierson,563
All,113,228,Bryan L,548
All,114,228,Declan swadling,547
All,115,228,Spencer Le,543
All,116,228,Christover,542
