category,position,total_competitors,competitor_name,score
Doubles,1,32,Mike Wong and Ryan,3042
Doubles,2,32,Alex and Xin,2854
Doubles,3,32,Samuel lundgren may and Christian Jai Santos,2753
Doubles,4,32,Jasper and Nicholas Selle,2533
Doubles,5,32,Dexter Ghiocas and Lachlan Nicholls,2416
Doubles,6,32,Henry and Max Goodall,2285
Doubles,7,32,chloe and Ferran Cornudella,2120
Doubles,8,32,Eden and Liam Seet,2022
Doubles,9,32,Ru and climbGPT,1826
Doubles,10,32,Zhi Keene and Jade Naik,1766
Doubles,11,32,Nathan Morgan and Luke Pipito,1672
Doubles,12,32,Serena Tang and Joel,1642
Doubles,13,32,Samuel Ke and Sanghoon Lee,1139
Doubles,14,32,Lewis and Shaun Ponton,1104
Doubles,15,32,Martin and Ashkan Pakzad,1102
Doubles,16,32,Nicholas Roberts and Harley Crispin,1041
Doubles,17,32,Matthew david and Emily,1009
Doubles,18,32,Christover and Jaimee Wall,1008
Doubles,19,32,Lana Maxwell and Turley,971
Doubles,20,32,Harry Seigne and George Allen,912
Doubles,21,32,Gwiff and Douglas Kirkman,876
Doubles,22,32,Mia turel and Isra,868
Doubles,23,32,Callum Dark and Michelle Meier,859
Doubles,24,32,Leroy and Arden,855
Doubles,25,32,Zhe and Emily Sutterby,838
Doubles,26,32,Bryan L and Connie Tan,823
Doubles,27,32,Yexin and Yuxi Cheng,802
Doubles,28,32,Jarrod and Olivia de Aizpurua,783
Doubles,29,32,Harrison Blanchard and Oliver Marett,760
Doubles,30,32,Soumil Patel and Justin Chua,675
Doubles,31,32,Nathan and Johnny,567
Doubles,32,32,Hannah Piper and Ruwan,503
